Run: 41 || MSE: 74.36876335525554 || R^2 Score: 0.6115149116645571 || Explained Variance Score: 0.6123496571953135 || Learning Rate: 0.1|| Iterations: 100
Run: 42 || MSE: 74.37198272878366 || R^2 Score: 0.6114980944075121 || Explained Variance Score: 0.6123610967901405 || Learning Rate: 0.1|| Iterations: 120
Run: 43 || MSE: 74.38978843508579 || R^2 Score: 0.6114050815473598 || Explained Variance Score: 0.612305843077352 || Learning Rate: 0.1|| Iterations: 140
Run: 44 || MSE: 74.39730645234339 || R^2 Score: 0.6113658091772591 || Explained Variance Score: 0.6122773238770831 || Learning Rate: 0.1|| Iterations: 160
Run: 45 || MSE: 74.40937251571108 || R^2 Score: 0.6113027788741885 || Explained Variance Score: 0.612228948017757 || Learning Rate: 0.1|| Iterations: 180
Run: 46 || MSE: 74.42040276193008 || R^2 Score: 0.6112451594385087 || Explained Variance Score: 0.6121830396959966 || Learning Rate: 0.1|| Iterations: 200
Run: 47 || MSE: 74.44590751929796 || R^2 Score: 0.6111119285298312 || Explained Variance Score: 0.6120731349725483 || Learning Rate: 0.1|| Iterations: 300
Run: 48 || MSE: 74.45133578146856 || R^2 Score: 0.6110835725532933 || Explained Variance Score: 0.6120492629380071 || Learning Rate: 0.1|| Iterations: 400
Run: 49 || MSE: 74.4525000929889 || R^2 Score: 0.6110774904612506 || Explained Variance Score: 0.6120441250734949 || Learning Rate: 0.1|| Iterations: 500
Run: 50 || MSE: 74.45268680261513 || R^2 Score: 0.6110765151336752 || Explained Variance Score: 0.6120433006094955 || Learning Rate: 0.1|| Iterations: 600
Run: 51 || MSE: 74.45273202101247 || R^2 Score: 0.6110762789233057 || Explained Variance Score: 0.6120431009133079 || Learning Rate: 0.1|| Iterations: 700
Run: 52 || MSE: 74.45273818029749 || R^2 Score: 0.6110762467486361 || Explained Variance Score: 0.6120430737116178 || Learning Rate: 0.1|| Iterations: 800
Run: 53 || MSE: 74.45273972070515 || R^2 Score: 0.6110762387019054 || Explained Variance Score: 0.6120430669085799 || Learning Rate: 0.1|| Iterations: 900
Run: 54 || MSE: 74.45274005744625 || R^2 Score: 0.6110762369428484 || Explained Variance Score: 0.6120430654213991 || Learning Rate: 0.1|| Iterations: 1000
